"locdisplayid","agentinvoice_invid","agentinvoice_finidn","agentinvoice_productid","sales_type","totalcount","amount"
"001006","2946","0201",71,"119",0,"0.96798352400"
"001006","2946","0201",71,"119",0,"0.97008987100"
"001007","2946","0501",9,"119",0,"0.96532110100"
"001007","2946","0501",9,"119",0,"0.97184403700"
"001007","2946","0501",11,"119",0,"0.95903014400"
"001007","2946","0501",23,"119",0,"0.95835005400"
"001007","2946","0501",23,"119",0,"0.96024559600"
"001007","2946","0501",23,"119",0,"0.96224708900"
"001007","2946","0501",23,"119",0,"0.96798352400"
"001007","2946","0501",23,"119",0,"0.97008987100"
"001007","2946","0501",66,"119",0,"0.95835005400"
"001007","2946","0501",66,"119",0,"0.96024559600"
"001007","2946","0501",66,"119",0,"0.96224708900"
"001007","2946","0501",66,"119",0,"0.96798352400"
"001007","2946","0501",66,"119",0,"0.97008987100"
"001007","2946","0501",71,"119",0,"0.95835005400"
"001007","2946","0501",71,"119",0,"0.96024559600"
"001007","2946","0501",71,"119",0,"0.96224708900"
"001007","2946","0501",71,"119",0,"0.96798352400"
"001007","2946","0501",71,"119",0,"0.97008987100"
"001008","2946","0501",9,"119",0,"0.96532110100"
"001008","2946","0501",9,"119",0,"0.97184403700"
"001008","2946","0501",11,"119",0,"0.95903014400"
"001008","2946","0501",23,"119",0,"0.95835005400"
"001008","2946","0501",23,"119",0,"0.96024559600"
"001008","2946","0501",23,"119",0,"0.96224708900"
"001008","2946","0501",23,"119",0,"0.96798352400"
"001008","2946","0501",23,"119",0,"0.97008987100"
"001008","2946","0501",66,"119",0,"0.95835005400"
"001008","2946","0501",66,"119",0,"0.96024559600"
"001008","2946","0501",66,"119",0,"0.96224708900"
"001008","2946","0501",66,"119",0,"0.96798352400"
"001008","2946","0501",66,"119",0,"0.97008987100"
"001008","2946","0501",71,"119",0,"0.95835005400"
"001008","2946","0501",71,"119",0,"0.96024559600"
"001008","2946","0501",71,"119",0,"0.96224708900"
"001008","2946","0501",71,"119",0,"0.96798352400"
"001008","2946","0501",71,"119",0,"0.97008987100"
"001211","2946","0201",9,"119",0,"0.96532110100"
"001211","2946","0201",9,"119",0,"0.97184403700"
"001211","2946","0201",11,"119",0,"0.95903014400"
"001211","2946","0201",23,"119",0,"0.95835005400"
"001211","2946","0201",23,"119",0,"0.96024559600"
"001211","2946","0201",23,"119",0,"0.96224708900"
"001211","2946","0201",23,"119",0,"0.96798352400"
"001211","2946","0201",23,"119",0,"0.97008987100"
"001211","2946","0201",66,"119",0,"0.95835005400"
"001211","2946","0201",66,"119",0,"0.96024559600"
"001211","2946","0201",66,"119",0,"0.96224708900"
"001211","2946","0201",66,"119",0,"0.96798352400"
"001211","2946","0201",66,"119",0,"0.97008987100"
"001211","2946","0201",71,"119",0,"0.95835005400"
"001211","2946","0201",71,"119",0,"0.96024559600"
"001211","2946","0201",71,"119",0,"0.96224708900"
"001211","2946","0201",71,"119",0,"0.96798352400"
"001211","2946","0201",71,"119",0,"0.97008987100"
"001212","2946","0501",9,"119",0,"0.96532110100"
