TERDISPLAYID,TRANSACTIONDATE,PRODID,LOCDISPLAYID,SALES_TYPE,TOTALCOUNT,AMOUNT,SUB_PROD
004303001,2025-06-25,3,004303,4,0,0.0,TOTO MATCH
004303001,2025-06-25,4,004303,4,0,0.0,SINGAPORE SWEEP
004303001,2025-06-25,5,004303,4,0,0.0,SPORTS
004303002,2025-06-25,1,004303,4,0,0.0,HORSE RACING
004303002,2025-06-25,2,004303,4,0,0.0,4D Lottery
004303002,2025-06-25,3,004303,4,0,0.0,TOTO
004303002,2025-06-25,3,004303,4,0,0.0,TOTO MATCH
004303002,2025-06-25,4,004303,4,0,0.0,SINGAPORE SWEEP
004303002,2025-06-25,5,004303,4,0,0.0,SPORTS
004401001,2025-06-25,1,004401,4,0,0.0,HORSE RACING
004401001,2025-06-25,2,004401,4,0,0.0,4D Lottery
004401001,2025-06-25,3,004401,4,0,0.0,TOTO
004401001,2025-06-25,3,004401,4,0,0.0,TOTO MATCH
004401001,2025-06-25,4,004401,4,0,0.0,SINGAPORE SWEEP
004401001,2025-06-25,5,004401,4,0,0.0,SPORTS
004401002,2025-06-25,1,004401,4,0,0.0,HORSE RACING
004401002,2025-06-25,2,004401,4,0,0.0,4D Lottery
004401002,2025-06-25,3,004401,4,0,0.0,TOTO
004401002,2025-06-25,3,004401,4,0,0.0,TOTO MATCH
004401002,2025-06-25,4,004401,4,0,0.0,SINGAPORE SWEEP
004401002,2025-06-25,5,004401,4,0,0.0,SPORTS
004402001,2025-06-25,1,004402,4,0,0.0,HORSE RACING
004402001,2025-06-25,2,004402,4,0,0.0,4D Lottery
004402001,2025-06-25,3,004402,4,0,0.0,TOTO
004402001,2025-06-25,3,004402,4,0,0.0,TOTO MATCH
004402001,2025-06-25,4,004402,4,0,0.0,SINGAPORE SWEEP
004402001,2025-06-25,5,004402,4,0,0.0,SPORTS
004402002,2025-06-25,1,004402,4,0,0.0,HORSE RACING
004402002,2025-06-25,2,004402,4,0,0.0,4D Lottery
004402002,2025-06-25,3,004402,4,0,0.0,TOTO
004402002,2025-06-25,3,004402,4,0,0.0,TOTO MATCH
004402002,2025-06-25,4,004402,4,0,0.0,SINGAPORE SWEEP
004402002,2025-06-25,5,004402,4,0,0.0,SPORTS
004404001,2025-06-25,1,004404,4,0,0.0,HORSE RACING
004404001,2025-06-25,2,004404,4,0,0.0,4D Lottery
004404001,2025-06-25,3,004404,4,0,0.0,TOTO
004404001,2025-06-25,3,004404,4,0,0.0,TOTO MATCH
004404001,2025-06-25,4,004404,4,0,0.0,SINGAPORE SWEEP
004404001,2025-06-25,5,004404,4,0,0.0,SPORTS
004404002,2025-06-25,1,004404,4,0,0.0,HORSE RACING
004404002,2025-06-25,2,004404,4,0,0.0,4D Lottery
004404002,2025-06-25,3,004404,4,0,0.0,TOTO
004404002,2025-06-25,3,004404,4,0,0.0,TOTO MATCH
004404002,2025-06-25,4,004404,4,0,0.0,SINGAPORE SWEEP
004404002,2025-06-25,5,004404,4,0,0.0,SPORTS
004404003,2025-06-25,1,004404,4,0,0.0,HORSE RACING
004404003,2025-06-25,2,004404,4,0,0.0,4D Lottery
004404003,2025-06-25,3,004404,4,0,0.0,TOTO
004404003,2025-06-25,3,004404,4,0,0.0,TOTO MATCH
004404003,2025-06-25,4,004404,4,0,0.0,SINGAPORE SWEEP
004404003,2025-06-25,5,004404,4,0,0.0,SPORTS
004501001,2025-06-25,1,004501,4,0,0.0,HORSE RACING
004501001,2025-06-25,2,004501,4,0,0.0,4D Lottery
004501001,2025-06-25,3,004501,4,0,0.0,TOTO
004501001,2025-06-25,3,004501,4,0,0.0,TOTO MATCH
004501001,2025-06-25,4,004501,4,0,0.0,SINGAPORE SWEEP
004501001,2025-06-25,5,004501,4,0,0.0,SPORTS
004501002,2025-06-25,1,004501,4,0,0.0,HORSE RACING
004501002,2025-06-25,2,004501,4,0,0.0,4D Lottery
004501002,2025-06-25,3,004501,4,0,0.0,TOTO
004501002,2025-06-25,3,004501,4,0,0.0,TOTO MATCH
004501002,2025-06-25,4,004501,4,0,0.0,SINGAPORE SWEEP
004501002,2025-06-25,5,004501,4,0,0.0,SPORTS
004501003,2025-06-25,1,004501,4,0,0.0,HORSE RACING
004501003,2025-06-25,2,004501,4,0,0.0,4D Lottery
004501003,2025-06-25,3,004501,4,0,0.0,TOTO
004501003,2025-06-25,3,004501,4,0,0.0,TOTO MATCH
004501003,2025-06-25,4,004501,4,0,0.0,SINGAPORE SWEEP
004501003,2025-06-25,5,004501,4,0,0.0,SPORTS
004602001,2025-06-25,1,004602,4,0,0.0,HORSE RACING
004602001,2025-06-25,2,004602,4,0,0.0,4D Lottery
004602001,2025-06-25,3,004602,4,0,0.0,TOTO
004602001,2025-06-25,3,004602,4,0,0.0,TOTO MATCH
004602001,2025-06-25,4,004602,4,0,0.0,SINGAPORE SWEEP
004602001,2025-06-25,5,004602,4,0,0.0,SPORTS
004602002,2025-06-25,1,004602,4,0,0.0,HORSE RACING
004602002,2025-06-25,2,004602,4,0,0.0,4D Lottery
004602002,2025-06-25,3,004602,4,0,0.0,TOTO
004602002,2025-06-25,3,004602,4,0,0.0,TOTO MATCH
004602002,2025-06-25,4,004602,4,0,0.0,SINGAPORE SWEEP
004602002,2025-06-25,5,004602,4,0,0.0,SPORTS
004604001,2025-06-25,1,004604,4,0,0.0,HORSE RACING
004604001,2025-06-25,2,004604,4,0,0.0,4D Lottery
004604001,2025-06-25,3,004604,4,0,0.0,TOTO
004604001,2025-06-25,3,004604,4,0,0.0,TOTO MATCH
004604001,2025-06-25,4,004604,4,0,0.0,SINGAPORE SWEEP
004604001,2025-06-25,5,004604,4,0,0.0,SPORTS
004604002,2025-06-25,1,004604,4,0,0.0,HORSE RACING
004604002,2025-06-25,2,004604,4,0,0.0,4D Lottery
004604002,2025-06-25,3,004604,4,0,0.0,TOTO
004604002,2025-06-25,3,004604,4,0,0.0,TOTO MATCH
004604002,2025-06-25,4,004604,4,0,0.0,SINGAPORE SWEEP
004604002,2025-06-25,5,004604,4,0,0.0,SPORTS
004604003,2025-06-25,1,004604,4,0,0.0,HORSE RACING
004604003,2025-06-25,2,004604,4,0,0.0,4D Lottery
004604003,2025-06-25,3,004604,4,0,0.0,TOTO
004604003,2025-06-25,3,004604,4,0,0.0,TOTO MATCH
004604003,2025-06-25,4,004604,4,0,0.0,SINGAPORE SWEEP
004604003,2025-06-25,5,004604,4,0,0.0,SPORTS
004604004,2025-06-25,1,004604,4,0,0.0,HORSE RACING
004604004,2025-06-25,2,004604,4,0,0.0,4D Lottery
004604004,2025-06-25,3,004604,4,0,0.0,TOTO
004604004,2025-06-25,3,004604,4,0,0.0,TOTO MATCH
004604004,2025-06-25,4,004604,4,0,0.0,SINGAPORE SWEEP
004604004,2025-06-25,5,004604,4,0,0.0,SPORTS
004605001,2025-06-25,1,004605,4,0,0.0,HORSE RACING
004605001,2025-06-25,2,004605,4,0,0.0,4D Lottery
004605001,2025-06-25,3,004605,4,0,0.0,TOTO
004605001,2025-06-25,3,004605,4,0,0.0,TOTO MATCH
004605001,2025-06-25,4,004605,4,0,0.0,SINGAPORE SWEEP
004605001,2025-06-25,5,004605,4,0,0.0,SPORTS
004605002,2025-06-25,1,004605,4,0,0.0,HORSE RACING
004605002,2025-06-25,2,004605,4,0,0.0,4D Lottery
004605002,2025-06-25,3,004605,4,0,0.0,TOTO
004605002,2025-06-25,3,004605,4,0,0.0,TOTO MATCH
004605002,2025-06-25,4,004605,4,0,0.0,SINGAPORE SWEEP
004605002,2025-06-25,5,004605,4,0,0.0,SPORTS
004607001,2025-06-25,1,004607,4,0,0.0,HORSE RACING
004607001,2025-06-25,2,004607,4,0,0.0,4D Lottery
004607001,2025-06-25,3,004607,4,0,0.0,TOTO
004607001,2025-06-25,3,004607,4,0,0.0,TOTO MATCH
004607001,2025-06-25,4,004607,4,0,0.0,SINGAPORE SWEEP
004607001,2025-06-25,5,004607,4,0,0.0,SPORTS
004607002,2025-06-25,1,004607,4,0,0.0,HORSE RACING
004607002,2025-06-25,2,004607,4,0,0.0,4D Lottery
004607002,2025-06-25,3,004607,4,0,0.0,TOTO
004607002,2025-06-25,3,004607,4,0,0.0,TOTO MATCH
004607002,2025-06-25,4,004607,4,0,0.0,SINGAPORE SWEEP
004607002,2025-06-25,5,004607,4,0,0.0,SPORTS
004607003,2025-06-25,1,004607,4,0,0.0,HORSE RACING
004607003,2025-06-25,2,004607,4,0,0.0,4D Lottery
004607003,2025-06-25,3,004607,4,0,0.0,TOTO
004607003,2025-06-25,3,004607,4,0,0.0,TOTO MATCH
004607003,2025-06-25,4,004607,4,0,0.0,SINGAPORE SWEEP
004607003,2025-06-25,5,004607,4,0,0.0,SPORTS
004609001,2025-06-25,1,004609,4,0,0.0,HORSE RACING
004609001,2025-06-25,2,004609,4,0,0.0,4D Lottery
004609001,2025-06-25,3,004609,4,0,0.0,TOTO
004609001,2025-06-25,3,004609,4,0,0.0,TOTO MATCH
004609001,2025-06-25,4,004609,4,0,0.0,SINGAPORE SWEEP
004609001,2025-06-25,5,004609,4,0,0.0,SPORTS
004609002,2025-06-25,1,004609,4,0,0.0,HORSE RACING
004609002,2025-06-25,2,004609,4,0,0.0,4D Lottery
004609002,2025-06-25,3,004609,4,0,0.0,TOTO
004609002,2025-06-25,3,004609,4,0,0.0,TOTO MATCH
004609002,2025-06-25,4,004609,4,0,0.0,SINGAPORE SWEEP
004609002,2025-06-25,5,004609,4,0,0.0,SPORTS
004610001,2025-06-25,1,004610,4,0,0.0,HORSE RACING
004610001,2025-06-25,2,004610,4,0,0.0,4D Lottery
004610001,2025-06-25,3,004610,4,0,0.0,TOTO
004610001,2025-06-25,3,004610,4,0,0.0,TOTO MATCH
004610001,2025-06-25,4,004610,4,0,0.0,SINGAPORE SWEEP
004610001,2025-06-25,5,004610,4,0,0.0,SPORTS
004610002,2025-06-25,1,004610,4,0,0.0,HORSE RACING
004610002,2025-06-25,2,004610,4,0,0.0,4D Lottery
004610002,2025-06-25,3,004610,4,0,0.0,TOTO
004610002,2025-06-25,3,004610,4,0,0.0,TOTO MATCH
004610002,2025-06-25,4,004610,4,0,0.0,SINGAPORE SWEEP
004610002,2025-06-25,5,004610,4,0,0.0,SPORTS
004612001,2025-06-25,1,004612,4,0,0.0,HORSE RACING
004612001,2025-06-25,2,004612,4,0,0.0,4D Lottery
004612001,2025-06-25,3,004612,4,0,0.0,TOTO
004612001,2025-06-25,3,004612,4,0,0.0,TOTO MATCH
004612001,2025-06-25,4,004612,4,0,0.0,SINGAPORE SWEEP
004612001,2025-06-25,5,004612,4,0,0.0,SPORTS
004612002,2025-06-25,1,004612,4,0,0.0,HORSE RACING
004612002,2025-06-25,2,004612,4,0,0.0,4D Lottery
004612002,2025-06-25,3,004612,4,0,0.0,TOTO
004612002,2025-06-25,3,004612,4,0,0.0,TOTO MATCH
004612002,2025-06-25,4,004612,4,0,0.0,SINGAPORE SWEEP
004612002,2025-06-25,5,004612,4,0,0.0,SPORTS
004613001,2025-06-25,1,004613,4,0,0.0,HORSE RACING
004613001,2025-06-25,2,004613,4,0,0.0,4D Lottery
004613001,2025-06-25,3,004613,4,0,0.0,TOTO
