CR_TERDISPLAYID,CR_TRANSACTIONDATE,CR_LOCDISPLAYID,CR_TOTALCOUNT,CR_AMOUNT
005211003,2025-06-25,005211,0,0.0
005211004,2025-06-25,005211,0,0.0
005212001,2025-06-25,005212,0,0.0
005212002,2025-06-25,005212,0,0.0
005212003,2025-06-25,005212,0,0.0
005214001,2025-06-25,005214,0,0.0
005214002,2025-06-25,005214,0,0.0
005216001,2025-06-25,005216,0,0.0
005216002,2025-06-25,005216,0,0.0
005216003,2025-06-25,005216,0,0.0
005217001,2025-06-25,005217,0,0.0
005217002,2025-06-25,005217,0,0.0
005217003,2025-06-25,005217,0,0.0
005301001,2025-06-25,005301,0,0.0
005301002,2025-06-25,005301,0,0.0
005301003,2025-06-25,005301,0,0.0
005302001,2025-06-25,005302,0,0.0
005302002,2025-06-25,005302,0,0.0
005303001,2025-06-25,005303,0,0.0
005303002,2025-06-25,005303,0,0.0
005303003,2025-06-25,005303,0,0.0
005303004,2025-06-25,005303,0,0.0
005303005,2025-06-25,005303,0,0.0
005303006,2025-06-25,005303,0,0.0
005304001,2025-06-25,005304,0,0.0
005304002,2025-06-25,005304,0,0.0
005304003,2025-06-25,005304,0,0.0
005304004,2025-06-25,005304,0,0.0
005306001,2025-06-25,005306,0,0.0
005306002,2025-06-25,005306,0,0.0
005307001,2025-06-25,005307,0,0.0
005307002,2025-06-25,005307,0,0.0
005309001,2025-06-25,005309,0,0.0
005309002,2025-06-25,005309,0,0.0
005309003,2025-06-25,005309,0,0.0
005310001,2025-06-25,005310,0,0.0
005310002,2025-06-25,005310,0,0.0
005311001,2025-06-25,005311,0,0.0
005311002,2025-06-25,005311,0,0.0
005312001,2025-06-25,005312,0,0.0
005312002,2025-06-25,005312,0,0.0
005313002,2025-06-25,005313,0,0.0
005313003,2025-06-25,005313,0,0.0
005314001,2025-06-25,005314,0,0.0
005314002,2025-06-25,005314,0,0.0
005315001,2025-06-25,005315,0,0.0
005315002,2025-06-25,005315,0,0.0
005316001,2025-06-25,005316,0,0.0
005316002,2025-06-25,005316,0,0.0
005401001,2025-06-25,005401,0,0.0
005401002,2025-06-25,005401,0,0.0
005401003,2025-06-25,005401,0,0.0
005403001,2025-06-25,005403,0,0.0
005403002,2025-06-25,005403,0,0.0
005405001,2025-06-25,005405,0,0.0
005405002,2025-06-25,005405,0,0.0
005405003,2025-06-25,005405,0,0.0
005406001,2025-06-25,005406,0,0.0
005406002,2025-06-25,005406,0,0.0
005406003,2025-06-25,005406,0,0.0
005406004,2025-06-25,005406,0,0.0
005407001,2025-06-25,005407,0,0.0
005407002,2025-06-25,005407,0,0.0
005408001,2025-06-25,005408,0,0.0
005408002,2025-06-25,005408,0,0.0
005408003,2025-06-25,005408,0,0.0
005501001,2025-06-25,005501,0,0.0
005501002,2025-06-25,005501,0,0.0
005501003,2025-06-25,005501,0,0.0
005502001,2025-06-25,005502,0,0.0
005502002,2025-06-25,005502,0,0.0
005504001,2025-06-25,005504,0,0.0
005504002,2025-06-25,005504,0,0.0
005508001,2025-06-25,005508,0,0.0
005508002,2025-06-25,005508,0,0.0
005508003,2025-06-25,005508,0,0.0
005509001,2025-06-25,005509,0,0.0
005509002,2025-06-25,005509,0,0.0
005601001,2025-06-25,005601,0,0.0
005601002,2025-06-25,005601,0,0.0
005601003,2025-06-25,005601,0,0.0
005602001,2025-06-25,005602,0,0.0
005602002,2025-06-25,005602,0,0.0
005602003,2025-06-25,005602,0,0.0
005602004,2025-06-25,005602,0,0.0
005603001,2025-06-25,005603,0,0.0
005603002,2025-06-25,005603,0,0.0
005603003,2025-06-25,005603,0,0.0
005604001,2025-06-25,005604,0,0.0
005604002,2025-06-25,005604,0,0.0
005604003,2025-06-25,005604,0,0.0
005604004,2025-06-25,005604,0,0.0
005606001,2025-06-25,005606,0,0.0
005606002,2025-06-25,005606,0,0.0
005609001,2025-06-25,005609,0,0.0
005609002,2025-06-25,005609,0,0.0
005609003,2025-06-25,005609,0,0.0
005610001,2025-06-25,005610,0,0.0
005610002,2025-06-25,005610,0,0.0
005610003,2025-06-25,005610,0,0.0
005701001,2025-06-25,005701,0,0.0
005701002,2025-06-25,005701,0,0.0
005702001,2025-06-25,005702,0,0.0
005702002,2025-06-25,005702,0,0.0
005702003,2025-06-25,005702,0,0.0
005703001,2025-06-25,005703,0,0.0
005703002,2025-06-25,005703,0,0.0
005704001,2025-06-25,005704,0,0.0
005704002,2025-06-25,005704,0,0.0
005705001,2025-06-25,005705,0,0.0
005705002,2025-06-25,005705,0,0.0
005706001,2025-06-25,005706,0,0.0
005706002,2025-06-25,005706,0,0.0
005803001,2025-06-25,005803,0,0.0
005803002,2025-06-25,005803,0,0.0
005804001,2025-06-25,005804,0,0.0
005804002,2025-06-25,005804,0,0.0
006001001,2025-06-25,006001,0,0.0
006001002,2025-06-25,006001,0,0.0
006001003,2025-06-25,006001,0,0.0
006002001,2025-06-25,006002,0,0.0
006002002,2025-06-25,006002,0,0.0
006002003,2025-06-25,006002,0,0.0
006003001,2025-06-25,006003,0,0.0
006003002,2025-06-25,006003,0,0.0
006003003,2025-06-25,006003,0,0.0
006006001,2025-06-25,006006,0,0.0
006006002,2025-06-25,006006,0,0.0
006006003,2025-06-25,006006,0,0.0
006007001,2025-06-25,006007,0,0.0
006101001,2025-06-25,006101,0,0.0
006101002,2025-06-25,006101,0,0.0
006103001,2025-06-25,006103,0,0.0
006103002,2025-06-25,006103,0,0.0
006105001,2025-06-25,006105,0,0.0
006105002,2025-06-25,006105,0,0.0
006105003,2025-06-25,006105,0,0.0
006201001,2025-06-25,006201,0,0.0
006201002,2025-06-25,006201,0,0.0
006202001,2025-06-25,006202,0,0.0
006202002,2025-06-25,006202,0,0.0
006301001,2025-06-25,006301,0,0.0
006301002,2025-06-25,006301,0,0.0
006401002,2025-06-25,006401,0,0.0
006401003,2025-06-25,006401,0,0.0
006401004,2025-06-25,006401,0,0.0
006401005,2025-06-25,006401,0,0.0
006404001,2025-06-25,006404,0,0.0
006404002,2025-06-25,006404,0,0.0
006404003,2025-06-25,006404,0,0.0
006405001,2025-06-25,006405,0,0.0
006405002,2025-06-25,006405,0,0.0
006405003,2025-06-25,006405,0,0.0
006405004,2025-06-25,006405,0,0.0
006407001,2025-06-25,006407,0,0.0
006407002,2025-06-25,006407,0,0.0
006407003,2025-06-25,006407,0,0.0
006408001,2025-06-25,006408,0,0.0
006408002,2025-06-25,006408,0,0.0
006408003,2025-06-25,006408,0,0.0
006408004,2025-06-25,006408,0,0.0
006501001,2025-06-25,006501,0,0.0
006501002,2025-06-25,006501,0,0.0
006501003,2025-06-25,006501,0,0.0
006502001,2025-06-25,006502,0,0.0
006502002,2025-06-25,006502,0,0.0
006502003,2025-06-25,006502,0,0.0
006504001,2025-06-25,006504,0,0.0
006504002,2025-06-25,006504,0,0.0
006505001,2025-06-25,006505,0,0.0
006505002,2025-06-25,006505,0,0.0
006701001,2025-06-25,006701,0,0.0
006701002,2025-06-25,006701,0,0.0
006701003,2025-06-25,006701,0,0.0
006702001,2025-06-25,006702,0,0.0
006702002,2025-06-25,006702,0,0.0
006703001,2025-06-25,006703,0,0.0
006703002,2025-06-25,006703,0,0.0
006705001,2025-06-25,006705,0,0.0
006705002,2025-06-25,006705,0,0.0
006705003,2025-06-25,006705,0,0.0
006803001,2025-06-25,006803,0,0.0
006803002,2025-06-25,006803,0,0.0
006803004,2025-06-25,006803,0,0.0
006804001,2025-06-25,006804,0,0.0
006804002,2025-06-25,006804,0,0.0
006805001,2025-06-25,006805,0,0.0
006805002,2025-06-25,006805,0,0.0
006807001,2025-06-25,006807,0,0.0
006807002,2025-06-25,006807,0,0.0
006807003,2025-06-25,006807,0,0.0
006807004,2025-06-25,006807,0,0.0
006807005,2025-06-25,006807,0,0.0
006808001,2025-06-25,006808,0,0.0
006808002,2025-06-25,006808,0,0.0
006808003,2025-06-25,006808,0,0.0
006809001,2025-06-25,006809,0,0.0
006809002,2025-06-25,006809,0,0.0
006810001,2025-06-25,006810,0,0.0
006810002,2025-06-25,006810,0,0.0
007304001,2025-06-25,007304,0,0.0
007304002,2025-06-25,007304,0,0.0
007305001,2025-06-25,007305,0,0.0
007305002,2025-06-25,007305,0,0.0
007305003,2025-06-25,007305,0,0.0
007306001,2025-06-25,007306,0,0.0
007306002,2025-06-25,007306,0,0.0
007308001,2025-06-25,007308,0,0.0
007308002,2025-06-25,007308,0,0.0
007309001,2025-06-25,007309,0,0.0
007309002,2025-06-25,007309,0,0.0
007309003,2025-06-25,007309,0,0.0
007310001,2025-06-25,007310,0,0.0
007310002,2025-06-25,007310,0,0.0
007310003,2025-06-25,007310,0,0.0
007311001,2025-06-25,007311,0,0.0
007311002,2025-06-25,007311,0,0.0
007501001,2025-06-25,007501,0,0.0
007501002,2025-06-25,007501,0,0.0
007502001,2025-06-25,007502,0,0.0
007502002,2025-06-25,007502,0,0.0
007502003,2025-06-25,007502,0,0.0
007503001,2025-06-25,007503,0,0.0
007503002,2025-06-25,007503,0,0.0
007601001,2025-06-25,007601,0,0.0
007601002,2025-06-25,007601,0,0.0
007601003,2025-06-25,007601,0,0.0
007601004,2025-06-25,007601,0,0.0
007601005,2025-06-25,007601,0,0.0
007602001,2025-06-25,007602,0,0.0
007602002,2025-06-25,007602,0,0.0
007602003,2025-06-25,007602,0,0.0
007602004,2025-06-25,007602,0,0.0
007604001,2025-06-25,007604,0,0.0
007604002,2025-06-25,007604,0,0.0
007604003,2025-06-25,007604,0,0.0
007607001,2025-06-25,007607,0,0.0
007607002,2025-06-25,007607,0,0.0
007607003,2025-06-25,007607,0,0.0
007612001,2025-06-25,007612,0,0.0
007612002,2025-06-25,007612,0,0.0
007612003,2025-06-25,007612,0,0.0
007612004,2025-06-25,007612,0,0.0
007613001,2025-06-25,007613,0,0.0
007613002,2025-06-25,007613,0,0.0
007801001,2025-06-25,007801,0,0.0
007801002,2025-06-25,007801,0,0.0
008001001,2025-06-25,008001,0,0.0
008001002,2025-06-25,008001,0,0.0
008001003,2025-06-25,008001,0,0.0
008201001,2025-06-25,008201,0,0.0
008201002,2025-06-25,008201,0,0.0
008202001,2025-06-25,008202,0,0.0
008202002,2025-06-25,008202,0,0.0
008204001,2025-06-25,008204,0,0.0
008204002,2025-06-25,008204,0,0.0
008205001,2025-06-25,008205,0,0.0
008205002,2025-06-25,008205,0,0.0
008206001,2025-06-25,008206,0,0.0
008206002,2025-06-25,008206,0,0.0
008207001,2025-06-25,008207,0,0.0
008207002,2025-06-25,008207,0,0.0
008888002,2025-06-25,008888,0,0.0
008888004,2025-06-25,008888,0,0.0
008888005,2025-06-25,008888,0,0.0
008888008,2025-06-25,008888,0,0.0
008888010,2025-06-25,008888,0,0.0
008888011,2025-06-25,008888,0,0.0
008888012,2025-06-25,008888,0,0.0
008888015,2025-06-25,008888,0,0.0
008888016,2025-06-25,008888,0,0.0
008888017,2025-06-25,008888,0,0.0
008888018,2025-06-25,008888,0,0.0
008888019,2025-06-25,008888,0,0.0
008888020,2025-06-25,008888,0,0.0
008888022,2025-06-25,008888,0,0.0
008888025,2025-06-25,008888,0,0.0
008888026,2025-06-25,008888,0,0.0
008888027,2025-06-25,008888,0,0.0
008888028,2025-06-25,008888,0,0.0
008888029,2025-06-25,008888,0,0.0
008888030,2025-06-25,008888,0,0.0
008888031,2025-06-25,008888,0,0.0
008888032,2025-06-25,008888,0,0.0
008888033,2025-06-25,008888,0,0.0
008888034,2025-06-25,008888,0,0.0
008888035,2025-06-25,008888,0,0.0
008888036,2025-06-25,008888,0,0.0
008888037,2025-06-25,008888,0,0.0
008888038,2025-06-25,008888,0,0.0
008888039,2025-06-25,008888,0,0.0
008888040,2025-06-25,008888,0,0.0
008888041,2025-06-25,008888,0,0.0
008888042,2025-06-25,008888,0,0.0
008888066,2025-06-25,008888,0,0.0
008888067,2025-06-25,008888,0,0.0
008888100,2025-06-25,008888,0,0.0
008888101,2025-06-25,008888,0,0.0
008888102,2025-06-25,008888,0,0.0
008888989,2025-06-25,008888,0,0.0
009901001,2025-06-25,009901,0,0.0
009901002,2025-06-25,009901,0,0.0
009901003,2025-06-25,009901,0,0.0
009901004,2025-06-25,009901,0,0.0
009901005,2025-06-25,009901,0,0.0
009901006,2025-06-25,009901,0,0.0
009901007,2025-06-25,009901,0,0.0
009901008,2025-06-25,009901,0,0.0
151189001,2025-06-25,151189,83,63800.0
151189002,2025-06-25,151189,0,0.0
151189003,2025-06-25,151189,0,0.0
151189004,2025-06-25,151189,0,0.0
151189005,2025-06-25,151189,0,0.0
151189006,2025-06-25,151189,0,0.0
151189007,2025-06-25,151189,0,0.0
151189008,2025-06-25,151189,0,0.0
151189009,2025-06-25,151189,0,0.0
151189010,2025-06-25,151189,0,0.0
154101001,2025-06-25,154101,0,0.0
154101002,2025-06-25,154101,0,0.0
154101003,2025-06-25,154101,0,0.0
154101004,2025-06-25,154101,0,0.0
154101005,2025-06-25,154101,0,0.0
154197001,2025-06-25,154197,0,0.0
154197002,2025-06-25,154197,0,0.0
154197003,2025-06-25,154197,0,0.0
154197004,2025-06-25,154197,0,0.0
154301001,2025-06-25,154301,0,0.0
154301002,2025-06-25,154301,0,0.0
154501011,2025-06-25,154501,0,0.0
154501012,2025-06-25,154501,0,0.0
154501013,2025-06-25,154501,0,0.0
154501014,2025-06-25,154501,0,0.0
154601001,2025-06-25,154601,0,0.0
154601002,2025-06-25,154601,0,0.0
154601003,2025-06-25,154601,0,0.0
154602001,2025-06-25,154602,0,0.0
154602002,2025-06-25,154602,0,0.0
154603001,2025-06-25,154603,0,0.0
154603003,2025-06-25,154603,0,0.0
154603004,2025-06-25,154603,0,0.0
155101001,2025-06-25,155101,0,0.0
155101002,2025-06-25,155101,0,0.0
155101003,2025-06-25,155101,0,0.0
155102001,2025-06-25,155102,0,0.0
155102002,2025-06-25,155102,0,0.0
155102003,2025-06-25,155102,0,0.0
155102004,2025-06-25,155102,0,0.0
155201001,2025-06-25,155201,0,0.0
155201002,2025-06-25,155201,0,0.0
155203001,2025-06-25,155203,0,0.0
155203002,2025-06-25,155203,0,0.0
155203003,2025-06-25,155203,0,0.0
155301001,2025-06-25,155301,0,0.0
155301002,2025-06-25,155301,0,0.0
155301003,2025-06-25,155301,0,0.0
155301004,2025-06-25,155301,0,0.0
155301005,2025-06-25,155301,0,0.0
155301006,2025-06-25,155301,0,0.0
155301007,2025-06-25,155301,0,0.0
155301008,2025-06-25,155301,0,0.0
155302001,2025-06-25,155302,0,0.0
155302002,2025-06-25,155302,0,0.0
155302003,2025-06-25,155302,0,0.0
155302004,2025-06-25,155302,0,0.0
