LOCID,LOCDISPLAYID,LOCNAME,LOCTYPE,ISIBG,ISGST,PRODUCTNAME,AMOUNT,FLAG,TYPE,ISHQ
41,176801,SPPL - TECK WHYE,1,False,False,Online Adjustment,-0.0,FUN,CH,False
41,176801,SPPL - TECK WHYE,1,False,False,Online Adjustment,0.0,REC,CH,False
42,176802,SPPL - CHOA CHU KANG,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
42,176802,SPPL - CHOA CHU KANG,1,False,False,Funding and Recovery,0.0,REC,CH,False
42,176802,SPPL - CHOA CHU KANG,1,False,False,Online Adjustment,-0.0,FUN,CH,False
42,176802,SPPL - CHOA CHU KANG,1,False,False,Online Adjustment,0.0,REC,CH,False
43,177301,SPPL - WOODLANDS N3,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
43,177301,SPPL - WOODLANDS N3,1,False,False,Funding and Recovery,0.0,REC,CH,False
43,177301,SPPL - WOODLANDS N3,1,False,False,Online Adjustment,-0.0,FUN,CH,False
43,177301,SPPL - WOODLANDS N3,1,False,False,Online Adjustment,0.0,REC,CH,False
44,177302,SPPL - WOODLANDS N5,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
44,177302,SPPL - WOODLANDS N5,1,False,False,Funding and Recovery,0.0,REC,CH,False
44,177302,SPPL - WOODLANDS N5,1,False,False,Online Adjustment,-0.0,FUN,CH,False
44,177302,SPPL - WOODLANDS N5,1,False,False,Online Adjustment,0.0,REC,CH,False
45,177303,SPPL - WOODLANDS N8,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
45,177303,SPPL - WOODLANDS N8,1,False,False,Funding and Recovery,0.0,REC,CH,False
45,177303,SPPL - WOODLANDS N8,1,False,False,Online Adjustment,-0.0,FUN,CH,False
45,177303,SPPL - WOODLANDS N8,1,False,False,Online Adjustment,0.0,REC,CH,False
46,177304,SPPL - WOODLANDS 888 PLAZA,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
46,177304,SPPL - WOODLANDS 888 PLAZA,1,False,False,Funding and Recovery,0.0,REC,CH,False
46,177304,SPPL - WOODLANDS 888 PLAZA,1,False,False,Online Adjustment,-0.0,FUN,CH,False
46,177304,SPPL - WOODLANDS 888 PLAZA,1,False,False,Online Adjustment,0.0,REC,CH,False
47,177501,SPPL - CANBERRA LINK,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
47,177501,SPPL - CANBERRA LINK,1,False,False,Funding and Recovery,0.0,REC,CH,False
47,177501,SPPL - CANBERRA LINK,1,False,False,Online Adjustment,-0.0,FUN,CH,False
47,177501,SPPL - CANBERRA LINK,1,False,False,Online Adjustment,0.0,REC,CH,False
48,177601,SPPL - YISHUN N1,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
48,177601,SPPL - YISHUN N1,1,False,False,Funding and Recovery,0.0,REC,CH,False
48,177601,SPPL - YISHUN N1,1,False,False,Online Adjustment,-0.0,FUN,CH,False
48,177601,SPPL - YISHUN N1,1,False,False,Online Adjustment,0.0,REC,CH,False
49,177602,SPPL - YISHUN N2,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
49,177602,SPPL - YISHUN N2,1,False,False,Funding and Recovery,0.0,REC,CH,False
49,177602,SPPL - YISHUN N2,1,False,False,Online Adjustment,-0.0,FUN,CH,False
49,177602,SPPL - YISHUN N2,1,False,False,Online Adjustment,0.0,REC,CH,False
50,177603,SPPL - YISHUN N4,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
50,177603,SPPL - YISHUN N4,1,False,False,Funding and Recovery,0.0,REC,CH,False
50,177603,SPPL - YISHUN N4,1,False,False,Online Adjustment,-0.0,FUN,CH,False
50,177603,SPPL - YISHUN N4,1,False,False,Online Adjustment,0.0,REC,CH,False
51,177604,SPPL - YISHUN N7,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
51,177604,SPPL - YISHUN N7,1,False,False,Funding and Recovery,0.0,REC,CH,False
51,177604,SPPL - YISHUN N7,1,False,False,Online Adjustment,-0.0,FUN,CH,False
51,177604,SPPL - YISHUN N7,1,False,False,Online Adjustment,0.0,REC,CH,False
52,181201,SPPL - CLEMENTI TOWN CENTRE,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
52,181201,SPPL - CLEMENTI TOWN CENTRE,1,False,False,Funding and Recovery,0.0,REC,CH,False
52,181201,SPPL - CLEMENTI TOWN CENTRE,1,False,False,Online Adjustment,-0.0,FUN,CH,False
52,181201,SPPL - CLEMENTI TOWN CENTRE,1,False,False,Online Adjustment,0.0,REC,CH,False
53,181202,SPPL - CLEMENTI N3,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
53,181202,SPPL - CLEMENTI N3,1,False,False,Funding and Recovery,0.0,REC,CH,False
53,181202,SPPL - CLEMENTI N3,1,False,False,Online Adjustment,-0.0,FUN,CH,False
53,181202,SPPL - CLEMENTI N3,1,False,False,Online Adjustment,0.0,REC,CH,False
